"nodeid","orignodeid","nodename","lvl"
0,2362,ROOT,0
1,2363,SUPPLIES,1
2,2364,PRODUCE,1
3,2365,GROCERY,1
4,2366,FROZEN,1
5,2367,DAIRY,1
21,2385,STORE SUPPLIES,2
81,2449,REFRIGERATED SALAD DRESSING,3
82,2451,BEVERAGES - HOT,3
83,2452,BEVERAGES - JUICES & DRINKS,3
84,2453,BEVERAGES - WATER,3
510,2981,DAY,4
511,2982,BOTTLE,4
512,2985,FRIEND CHAINS,4
513,2988,SENIORS/STUDENTS,4
514,2989,SPARKLING,4
515,2990,TOKENS,4
516,2991,LARGE GLASS,4
517,2993,FLIGHT,4
518,2995,WINE,4
519,2997,INSTORE EVENTS,4
2169,92724,DENTALIFE CHEWS SML DOG 248G,5
2170,92726,PPY EVERYDAY CARD,5
2171,92728,ZOGLOS SWT POTATO PUFF 400G,5
2172,92739,"3 GALLON TROPICAL ASSORTED",5
2173,92742,PPY MOTHER'S DAY WHLSL CARDS,5
2174,92744,NUTR DENTI EDIBLE CHEWS 36S 179G,5
2175,92745,RPG FATHER'S DAY CAN DS CARD,5
2176,92746,PPY FATHER'S DAY WHLSL CARDS,5
2177,92747,VILLAGGIO TOSCANA DNR RLS 360G,5
2178,92749,LONGOS SIG CARBN JERK SC 350ML,5
2179,92754,AMOPE PEDIPERFECT FOOT FILE GADGET WET&DRY,5
2180,92756,GRNFLD RWA WIENERS 375G,5
2181,92762,FRUIT BLISS ORG DATES 142G,5
6599,107344,RPG EASTER CARDS,5
6600,107360,EURO CHSECK CHERRY 1/2 SLB,5
6601,107361,PPY THANKSGIVING CARDS,5
42224,8203,CENTURA BRANDS INC.,6
42225,8205,CENTRAL ROAST,6
42226,8206,CENTRAL - EPICURE FOOD PRODUCTS,6
42227,8209,CHRISTAN MARK,6
42228,8212,CLOROX COMPANY OF CANADA,6
42229,8214,COLLECTIVE ARTS BREWING LTD.,6