pred,label
2,2
2,2
2,2
3,0
2,9
2,2
1,1
1,1
3,11
2,2
1,1
2,2
2,2
3,8
2,2
2,2
2,1
3,11
3,11
2,2
2,2
2,2
2,2
3,9
2,1
3,11
2,2
3,8
2,2
2,2
2,2
3,6
2,2
2,2
2,2
2,2
2,2
2,2
2,9
2,2
3,11
1,8
2,2
2,2
2,2
2,2
2,2
3,11
2,2
2,2
2,2
2,2
3,13
2,2
3,11
1,1
2,2
2,2
3,11
3,11
2,2
2,2
3,10
2,2
3,11
14,2
2,2
2,2
2,2
3,3
1,1
2,2
2,2
3,6
2,2
2,1
1,1
1,1
1,2
2,3
2,2
3,8
3,0
3,6
2,2
2,2
3,3
2,2
2,2
2,2
3,0
3,2
2,2
2,1
3,10
2,3
2,2
2,2
2,1
3,10
2,2
3,11
2,2
2,2
2,2
1,1
2,2
2,2
2,2
3,11
3,11
3,11
2,17
2,2
2,8
2,3
2,1
1,12
2,6
1,8
2,3
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,1
2,2
14,13
2,2
3,6
2,8
2,2
2,1
2,1
5,8
2,1
2,2
2,2
2,2
3,0
2,2
3,0
2,2
1,1
2,2
2,2
5,6
3,3
2,2
2,3
2,2
2,2
3,3
2,2
2,2
2,2
1,1
2,3
2,2
2,1
2,2
3,11
2,2
2,2
1,1
6,11
3,8
2,2
2,2
2,2
2,2
2,8
1,1
3,8
2,2
10,2
2,2
2,2
2,5
2,6
2,6
3,6
1,6
2,2
2,6
3,10
3,8
2,2
3,11
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,6
3,0
2,2
3,3
2,1
3,6
2,2
2,2
2,2
3,9
2,6
2,2
2,2
2,11
1,1
2,2
2,2
2,2
2,2
3,6
2,2
2,2
6,10
1,1
2,2
2,2
3,10
2,2
2,2
6,17
2,2
2,2
14,12
3,11
2,2
3,6
2,2
3,11
2,2
2,8
2,2
3,3
2,0
2,2
3,8
2,0
2,2
2,2
1,1
1,2
3,11
2,2
1,1
3,6
2,2
1,1
3,6
2,2
2,2
2,2
1,1
1,1
2,2
3,0
2,2
3,6
1,1
3,3
2,2
1,1
1,1
3,9
2,2
2,1
2,2
2,2
3,9
2,2
2,2
2,2
2,2
14,2
2,3
0,13
3,9
2,6
2,3
2,2
2,2
1,3
3,3
2,2
3,6
1,2
2,2
2,2
3,6
3,8
2,2
2,2
2,2
3,3
2,8
2,2
3,11
2,2
2,2
2,8
3,10
3,0
3,0
2,2
2,2
2,2
2,2
2,2
3,11
1,2
2,2
2,2
2,3
2,8
1,1
1,1
1,2
2,1
1,1
2,2
3,6
3,0
2,2
2,2
2,2
2,2
2,2
3,0
2,2
3,0
2,2
2,2
3,11
5,13
3,0
17,13
2,2
1,1
2,2
2,2
2,6
2,2
2,2
3,0
3,8
2,2
2,1
2,2
1,1
2,2
2,1
2,2
2,2
2,2
2,2
2,2
2,2
1,1
2,2
3,3
2,2
2,2
3,8
2,2
3,11
3,8
2,2
2,2
2,2
2,2
6,10
2,2
3,9
2,2
1,1
2,3
1,1
2,2
3,3
1,6
2,2
3,0
1,6
3,5
3,8
3,0
3,0
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,0
2,2
2,2
2,2
1,12
2,2
1,2
2,6
2,2
2,8
1,1
2,1
6,17
3,8
2,6
3,6
2,2
2,2
1,3
2,2
2,2
1,2
3,6
2,2
2,2
2,2
3,6
2,2
2,2
1,1
2,2
1,12
14,17
2,8
2,2
2,2
2,2
1,1
3,10
2,2
3,15
2,2
2,2
2,2
2,2
1,1
2,1
3,0
2,8
2,2
2,2
2,2
3,13
2,2
2,2
3,11
3,13
1,2
2,2
2,2
2,3
2,2
2,2
2,2
1,2
2,2
2,2
3,0
2,2
2,2
2,2
2,2
1,1
3,3
1,2
3,5
2,2
3,5
3,0
3,11
6,17
3,11
3,6
1,2
2,2
2,2
2,2
3,10
2,2
3,11
2,2
2,2
3,11
2,2
2,2
1,1
2,2
3,11
2,2
2,2
1,2
1,2
3,11
2,2
2,2
2,2
2,2
2,2
3,6
2,8
3,3
3,11
2,2
2,2
2,2
2,2
2,2
1,1
2,2
3,9
2,2
2,2
2,2
2,2
2,2
2,2
1,1
3,5
1,2
2,1
2,0
2,2
3,0
1,1
3,2
3,3
3,5
2,2
2,2
3,5
2,2
2,2
3,6
3,3
3,2
3,8
2,8
3,6
2,2
2,2
3,3
2,2
2,2
14,15
2,2
2,1
2,2
2,2
3,6
2,2
1,1
5,17
2,2
2,2
3,11
1,1
3,5
2,2
1,6
3,2
2,2
1,6
1,1
2,2
2,2
3,2
3,2
2,2
2,2
3,6
2,3
2,2
2,2
2,2
1,1
1,1
1,1
3,8
3,5
2,1
3,10
1,1
2,2
2,5
3,3
3,9
2,9
3,8
2,2
2,2
3,9
2,2
3,10
2,2
3,11
1,1
2,2
2,2
3,11
1,2
3,3
14,14
2,2
2,2
2,5
2,2
2,2
3,6
3,13
3,3
2,2
2,2
2,2
2,2
1,1
2,2
2,2
2,1
1,2
2,8
2,2
2,2
2,2
3,3
3,8
3,9
17,2
14,15
2,2
1,1
2,2
2,2
2,2
2,2
2,2
2,2
2,3
2,2
2,2
1,1
2,2
3,3
2,2
3,9
2,2
1,1
1,1
3,6
3,0
2,2
2,2
2,2
6,17
2,2
2,2
2,2
2,2
1,1
1,1
2,2
2,2
2,2
3,0
1,1
2,2
3,6
2,2
2,2
2,2
2,2
1,1
3,6
3,11
2,2
2,2
2,1
2,2
3,6
3,6
2,2
3,11
2,3
2,8
2,8
2,2
2,2
1,2
1,1
1,1
2,2
2,2
2,2
2,2
2,2
2,2
3,3
1,1
2,2
2,2
1,1
1,1
2,1
3,3
3,5
2,2
1,1
1,1
1,1
9,17
2,2
1,1
2,2
2,2
2,2
2,3
2,2
2,2
1,2
2,8
5,17
2,2
2,2
1,1
3,0
1,1
2,3
2,9
1,1
2,2
3,6
3,6
1,1
3,5
2,2
2,2
2,8
2,2
2,2
2,2
2,3
1,1
6,10
2,2
3,9
2,2
3,11
3,3
2,2
3,0
2,2
2,2
3,11
2,2
2,2
2,2
2,1
3,6
1,1
2,2
2,2
2,2
2,2
2,2
2,0
1,1
2,2
2,0
2,2
3,6
2,2
2,2
2,2
2,1
2,2
1,1
2,2
1,1
3,11
2,2
3,8
2,2
2,2
3,0
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
10,17
2,2
2,2
2,2
2,2
2,1
1,1
2,2
3,10
2,2
3,11
2,2
2,2
2,2
3,0
14,14
6,10
2,2
2,2
2,11
1,1
2,2
3,9
1,3
2,2
2,2
2,2
2,2
2,2
1,1
3,2
2,2
1,2
2,2
3,11
2,2
2,2
2,2
2,2
3,11
3,17
2,2
2,2
3,6
6,17
2,2
2,2
2,2
2,2
1,1
2,2
0,8
1,2
2,2
6,2
2,2
3,6
0,9
1,1
3,0
3,11
3,6
3,6
2,8
2,2
2,2
2,1
3,11
2,2
0,17
1,1
0,17
2,2
2,2
3,6
2,2
2,2
2,2
2,6
2,2
2,2
3,2
2,2
2,9
5,17
3,6
0,13
2,8
2,2
1,1
3,10
2,2
1,1
2,8
2,1
2,2
3,11
2,2
2,3
3,6
2,1
2,2
2,6
2,2
5,17
2,2
2,2
3,10
1,1
2,2
6,2
3,2
2,13
3,8
2,2
1,1
2,2
2,2
14,15
2,3
3,0
2,2
1,1
2,6
3,2
2,2
2,2
2,2
2,2
3,11
3,0
3,6
2,2
2,2
2,2
2,2
1,1
3,8
2,2
2,2
1,1
2,2
2,1
2,2
13,2
3,11
2,2
14,14
2,2
2,2
3,8
9,11
2,2
2,2
1,1
2,2
14,14
3,8
2,8
2,2
2,2
1,2
3,3
5,17
2,8
1,1
1,1
2,2
2,2
3,5
2,2
2,6
2,8
2,2
2,6
3,11
2,2
2,2
2,0
3,3
2,2
2,1
2,2
2,2
2,2
2,2
3,5
2,2
1,1
2,2
5,2
1,1
3,10
2,2
2,2
2,2
2,2
2,1
2,1
3,11
2,2
2,2
2,3
2,1
2,2
2,2
1,2
2,1
2,2
1,1
1,1
1,1
2,2
2,2
3,8
5,17
1,1
1,2
1,9
3,0
2,2
2,2
2,2
1,1
2,2
2,2
2,2
1,1
3,0
2,2
2,1
2,1
2,2
1,1
3,11
2,2
3,6
3,2
1,1
2,6
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
3,10
3,3
2,2
2,2
3,9
2,2
2,2
2,6
2,2
3,3
2,2
2,2
1,2
2,2
2,2
1,1
2,1
2,2
2,1
1,1
2,2
2,2
2,1
2,2
2,5
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,1
3,11
3,9
3,6
1,1
3,0
2,1
3,11
1,1
1,1
3,0
2,2
6,17
2,2
2,2
2,2
15,9
2,2
2,2
2,2
2,2
1,2
3,8
3,6
2,2
2,2
3,12
1,1
1,1
3,0
2,2
2,2
2,2
3,6
17,8
1,1
2,2
2,2
3,8
2,2
2,2
2,2
2,2
6,17
2,2
1,2
2,2
1,1
2,2
3,3
2,2
2,2
2,2
2,2
1,1
1,1
2,2
1,1
3,0
6,8
1,1
2,3
2,2
2,2
2,2
2,2
14,12
2,2
3,11
3,11
3,9
2,2
2,2
2,6
14,15
2,2
2,2
1,2
2,3
2,2
3,9
2,2
2,2
2,1
3,3
17,8
3,11
2,3
2,2
2,2
2,8
2,2
1,1
2,2
2,2
3,11
2,2
3,0
2,2
2,2
3,8
2,2
3,11
2,2
5,17
2,2
2,2
3,3
1,1
2,1
2,2
3,3
2,8
1,1
3,13
2,2
2,2
2,2
2,2
2,1
2,1
2,2
2,2
2,2
2,3
6,0
2,2
2,2
2,2
3,3
2,2
6,10
2,1
1,1
1,1
6,8
0,10
2,1
3,3
2,2
5,3
3,3
2,2
2,2
3,9
3,5
2,2
2,2
2,2
3,11
1,1
1,2
3,2
2,2
2,1
2,1
3,11
2,2
2,2
1,2
2,2
3,11
2,0
2,6
1,2
3,11
1,1
2,2
3,9
2,2
2,2
2,10
3,3
2,2
2,2
2,2
1,1
2,2
3,11
2,2
2,2
2,2
3,3
2,2
1,1
2,2
2,2
2,2
2,2
1,1
2,1
3,6
2,2
3,11
3,11
1,1
2,2
2,2
3,6
1,2
2,2
2,2
2,2
3,6
2,2
3,3
2,2
3,13
2,2
2,2
3,8
2,2
2,2
3,9
3,5
2,9
2,2
2,2
2,3
2,8
3,11
3,0
2,2
2,2
2,2
2,2
2,6
2,2
3,8
3,3
6,17
2,2
2,2
3,11
2,2
2,2
2,2
2,1
3,0
2,2
1,1
2,6
2,2
3,6
2,2
3,3
3,9
2,2
2,2
3,0
3,0
6,8
3,3
2,2
2,2
2,2
3,2
2,2
3,8
2,2
1,1
2,1
1,1
3,6
2,2
2,2
2,2
2,2
1,1
6,2
2,2
1,1
2,3
2,2
2,2
3,11
1,1
2,2
6,10
3,8
2,2
3,3
2,2
2,2
2,2
2,2
2,2
3,0
2,0
2,2
2,6
2,2
2,2
3,6
2,2
2,2
3,8
3,6
2,2
2,2
2,2
5,10
2,2
2,2
2,2
2,2
2,2
3,6
2,2
6,17
3,6
3,5
10,12
2,2
1,1
2,0
2,1
2,2
2,2
2,2
3,3
3,11
2,2
2,2
3,5
2,2
2,2
2,2
3,0
2,2
2,2
3,0
2,2
2,10
1,1
1,1
2,1
3,3
2,2
2,2
2,2
2,2
2,2
2,2
2,2
3,6
2,2
1,1
2,2
3,6
2,2
2,2
2,2
3,5
2,2
2,2
2,2
3,6
2,3
2,2
2,2
1,1
2,2
3,5
5,10
2,2
3,5
2,6
2,2
2,2
2,2
3,6
3,6
2,2
2,2
2,1
3,3
3,5
2,2
2,2
2,2
2,2
3,6
3,9
2,1
3,0
3,13
2,2
2,2
3,5
2,2
2,2
2,2
2,2
2,11
2,2
2,1
1,1
2,2
3,0
3,6
3,3
2,2
1,2
1,2
2,2
2,2
2,2
1,1
2,2
3,3
2,2
2,2
2,2
2,1
2,0
3,6
3,0
1,2
2,2
2,6
2,2
2,2
2,1
2,2
2,2
2,2
17,6
2,2
2,2
2,2
2,2
2,1
2,2
2,2
2,2
2,3
2,2
2,2
1,1
3,8
2,2
3,6
2,2
3,11
2,2
2,2
2,2
3,10
2,2
2,2
2,2
2,2
1,1
1,1
14,11
3,11
2,2
2,2
3,6
1,12
2,2
2,1
3,2
1,1
2,2
2,2
2,2
2,2
1,1
2,2
3,0
3,2
2,2
2,10
3,6
2,2
1,1
1,1
1,1
3,11
2,2
2,2
2,2
2,2
2,2
2,2
2,2
1,2
3,6
2,2
2,2
1,1
3,2
3,10
3,11
1,1
1,1
2,3
2,2
2,2
3,2
3,11
2,2
2,2
3,10
2,2
2,2
2,2
2,1
2,2
2,1
2,2
2,2
2,2
3,6
2,2
1,1
2,2
5,8
3,11
3,10
3,0
2,2
1,12
1,1
2,2
2,2
1,1
2,2
2,2
3,0
2,2
2,2
3,0
3,5
1,2
2,2
3,10
6,10
1,1
3,9
2,1
2,2
2,2
1,1
2,2
2,2
2,2
3,3
2,2
2,2
9,11
2,2
6,2
2,2
2,2
1,2
2,2
2,2
3,8
1,1
48,9
1,1
2,2
2,2
2,2
2,2
3,0
1,1
6,9
1,1
2,8
3,0
2,1
2,2
2,2
3,6
2,2
2,8
2,2
2,3
2,2
2,2
2,2
2,2
3,11
2,2
2,2
1,1
2,2
2,2
2,2
2,2
2,2
3,6
3,3
2,2
2,2
3,0
2,2
1,1
3,11
2,2
2,2
2,2
2,2
2,2
3,6
2,2
2,2
3,8
3,2
2,2
2,2
1,1
2,2
2,2
2,8
1,1
3,6
2,2
2,2
2,2
2,8
2,3
2,2
1,1
2,8
2,2
2,2
2,1
1,1
2,2
1,1
2,1
2,2
3,0
2,2
2,2
2,6
2,2
2,2
1,1
2,1
3,11
2,2
2,2
3,0
2,2
1,0
1,1
2,2
1,1
6,10
2,2
2,2
2,2
2,2
3,11
3,5
3,3
6,0
2,2
14,11
2,2
3,9
3,13
2,2
1,1
2,1
1,1
2,2
2,2
2,2
14,14
2,2
3,6
2,2
1,1
2,2
2,2
1,1
0,8
3,5
2,5
2,2
1,1
2,1
3,11
2,2
3,3
3,6
2,2
2,2
2,2
3,6
3,5
2,2
2,2
1,1
2,2
2,3
3,5
2,2
1,1
2,2
2,2
6,11
3,11
2,2
2,2
2,2
14,17
2,1
1,2
2,2
2,2
3,10
2,2
3,8
2,1
3,6
3,0
2,2
1,1
3,0
1,1
2,2
2,2
2,2
2,2
2,2
2,2
3,0
2,2
2,2
2,2
2,2
2,2
2,2
2,2
3,6
2,2
2,2
2,8
2,1
2,2
3,11
2,2
2,2
1,1
5,17
0,13
2,2
2,8
5,10
1,1
2,2
2,2
2,2
3,6
3,11
2,2
2,2
2,2
2,8
3,5
6,8
2,2
2,2
2,2
2,2
2,2
2,2
2,3
2,2
1,1
3,5
1,1
1,1
2,8
2,2
2,2
2,2
2,2
3,9
6,10
2,2
1,1
2,2
2,2
2,2
2,2
3,8
2,3
2,2
2,2
1,1
5,17
2,2
3,0
2,2
2,5
1,1
3,2
1,1
2,2
3,11
0,8
3,8
2,2
3,3
2,2
2,2
2,2
2,2
2,2
2,2
2,2
3,8
2,2
2,2
2,2
2,2
2,2
2,2
1,1
2,2
2,2
2,2
2,1
2,2
2,2
2,3
2,2
2,2
2,2
2,2
2,2
3,8
3,11
2,2
2,2
2,8
3,6
2,2
2,2
1,1
2,5
2,3
2,13
2,2
1,1
2,2
2,2
2,2
2,2
2,0
2,2
6,6
2,2
2,6
3,6
2,2
2,8
2,2
2,2
3,11
2,2
2,2
2,2
2,2
2,2
2,2
1,1
3,6
2,1
2,2
3,9
2,2
1,1
2,2
2,3
3,6
2,2
2,1
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
3,0
2,2
3,5
2,2
3,11
2,2
1,1
2,2
2,2
2,2
3,8
3,0
3,0
2,1
2,2
3,0
3,11
2,1
2,1
2,2
2,2
3,3
2,2
2,2
2,2
2,2
2,2
2,2
1,1
1,1
3,5
1,1
2,2
1,1
2,2
3,6
3,0
5,0
3,3
2,2
2,2
2,2
1,1
2,2
2,9
2,2
1,1
3,6
2,2
2,2
3,5
2,2
2,2
2,8
1,1
1,2
2,2
0,17
3,6
2,2
2,2
2,2
2,2
2,2
2,6
2,2
2,1
2,2
3,11
2,1
1,1
2,2
3,8
2,2
2,2
2,2
2,2
1,1
2,2
2,2
2,2
1,1
2,2
2,2
3,3
3,6
1,1
2,2
2,2
3,0
3,0
3,8
2,2
3,5
2,2
1,1
2,2
14,17
2,2
2,2
2,8
2,2
2,2
3,6
2,16
11,17
2,6
1,1
2,2
3,3
3,6
2,2
2,2
2,2
2,2
2,2
2,2
2,2
48,14
3,8
2,2
2,2
2,2
3,11
2,2
2,2
3,11
2,2
2,3
2,2
1,1
3,6
3,11
2,2
1,1
2,2
2,2
1,1
3,10
2,5
3,11
2,2
1,1
1,1
2,1
9,9
2,1
2,3
6,17
2,2
2,8
2,2
2,2
2,2
1,2
5,2
2,2
1,1
2,2
1,1
2,2
2,0
2,2
3,6
2,2
2,2
3,9
2,6
2,2
2,2
3,11
17,2
2,1
3,2
3,3
2,0
3,3
3,0
3,3
2,2
2,2
2,1
5,17
2,2
2,2
2,2
2,2
2,2
2,2
2,3
3,2
2,2
2,1
3,8
1,2
3,0
3,3
3,9
2,2
2,2
2,2
1,2
2,2
2,2
3,11
2,2
3,6
3,8
2,9
3,9
3,3
2,8
1,1
2,2
3,0
2,2
2,2
2,2
2,2
1,1
2,2
3,11
3,6
2,2
2,2
3,6
2,1
2,2
2,2
3,3
2,1
2,8
2,2
2,2
2,2
1,1
2,2
2,2
2,2
2,2
2,2
3,8
2,6
2,2
1,1
2,2
1,2
2,2
1,2
3,6
2,2
3,2
2,2
2,2
2,2
2,2
2,2
3,6
3,11
2,2
2,1
1,2
2,1
2,2
2,2
2,2
3,3
3,2
6,10
2,2
2,5
2,2
2,2
2,2
2,2
2,1
2,2
2,2
2,2
6,10
2,6
2,2
3,11
2,8
2,2
2,2
3,3
2,2
2,2
2,2
3,0
2,2
2,2
2,2
2,2
5,8
2,2
2,2
2,5
1,1
2,2
2,2
2,2
2,2
3,3
2,2
2,1
2,8
2,2
2,2
2,2
2,1
2,2
2,6
3,3
2,2
2,8
2,2
2,2
3,6
2,1
2,2
1,2
2,2
2,2
2,2
2,2
2,2
2,2
3,6
1,3
3,2
2,2
1,1
2,2
3,10
2,2
1,1
2,2
3,9
2,2
3,11
2,2
2,2
3,2
2,3
3,2
2,1
2,1
6,17
2,2
2,2
1,1
2,2
2,1
2,6
1,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
3,11
3,11
1,1
2,2
3,0
3,11
1,1
2,8
2,2
2,2
3,3
2,2
3,9
2,2
2,2
5,17
2,2
2,2
2,8
3,5
5,8
1,2
3,11
2,2
1,1
6,17
1,1
6,9
2,1
2,2
2,2
2,0
5,17
2,2
2,1
2,2
2,2
3,11
1,2
2,2
2,2
2,2
3,6
2,6
1,6
6,9
2,2
2,2
3,8
3,6
2,2
2,2
3,2
3,0
14,13
0,8
3,9
1,1
2,1
9,17
1,2
3,11
2,2
3,11
2,2
2,2
2,1
2,2
2,2
3,3
2,2
2,2
2,2
2,2
2,2
2,2
3,12
2,2
1,1
2,3
1,1
2,2
2,2
2,2
2,2
2,2
2,2
3,8
2,2
2,6
1,1
2,2
2,2
3,2
1,1
1,1
1,1
2,2
2,0
2,2
2,2
2,6
3,5
3,8
14,14
3,10
2,2
0,17
3,11
2,2
2,2
2,2
1,2
2,2
1,1
2,2
5,10
2,2
3,0
3,2
2,6
2,2
2,2
2,2
2,3
1,1
3,8
2,2
2,3
2,2
2,2
2,2
2,2
6,17
3,3
3,11
2,2
2,2
3,2
2,2
3,2
1,1
2,2
2,2
2,2
3,5
2,2
3,6
2,2
2,2
3,11
3,8
3,5
2,2
1,1
2,2
2,2
10,14
2,2
2,2
17,2
2,2
2,2
2,2
3,6
3,8
3,0
2,2
2,2
2,2
1,1
3,5
0,13
2,3
3,11
2,2
2,6
2,2
2,2
2,2
1,2
3,5
2,11
2,2
3,5
2,2
2,2
3,3
3,0
3,8
3,0
2,2
2,2
2,2
1,1
1,1
2,2
1,1
2,2
1,1
2,2
2,2
14,17
2,2
17,8
1,1
2,2
3,8
6,9
2,2
2,2
2,2
2,0
17,8
2,2
3,2
3,3
2,2
2,6
2,9
2,2
3,11
1,1
2,2
2,2
2,2
2,2
3,9
2,8
3,3
2,2
3,2
2,2
2,2
2,1
1,1
3,11
2,0
2,0
3,6
2,2
1,1
2,2
2,2
2,2
1,1
3,6
2,2
3,6
2,2
2,2
2,2
14,13
2,2
2,2
2,2
1,1
3,6
3,5
2,2
3,8
2,2
3,0
3,6
3,11
2,2
1,1
3,8
2,2
2,2
1,1
2,2
2,2
2,0
2,2
5,3
2,2
1,1
2,2
1,1
1,1
2,2
3,13
3,11
1,1
2,2
2,1
2,8
2,6
2,2
1,1
1,2
2,2
1,1
48,0
3,0
2,2
2,2
2,3
1,1
3,0
2,2
1,1
2,2
2,2
2,6
2,9
1,1
1,2
3,10
5,9
2,2
2,17
2,0
3,0
3,3
3,5
2,2
2,8
3,8
2,1
2,11
2,2
2,2
2,2
3,5
2,2
6,17
2,2
2,2
2,2
2,1
2,2
2,0
2,2
1,1
2,2
3,5
2,2
2,2
1,1
3,11
2,6
2,2
2,11
2,2
2,2
2,2
3,3
1,1
2,2
3,8
2,2
2,3
1,11
2,3
3,8
2,2
2,2
3,6
2,2
2,1
2,2
3,12
3,6
1,1
3,8
3,6
1,12
5,10
3,11
2,10
3,3
2,10
3,6
2,2
1,2
3,5
3,11
2,2
3,6
1,1
2,2
2,2
2,1
2,11
2,13
2,2
2,2
2,2
2,1
3,11
2,1
2,2
3,8
1,1
2,2
2,2
3,6
2,13
1,1
1,1
2,2
2,2
1,2
3,0
2,2
2,1
2,6
1,1
2,2
2,2
3,0
3,5
2,6
3,3
3,6
3,3
2,2
2,2
14,13
2,2
1,1
1,1
2,2
1,1
2,2
2,2
2,1
2,2
3,11
2,2
3,6
2,2
3,6
2,2
3,6
2,2
2,0
2,2
17,2
1,1
2,2
2,2
2,1
2,6
3,2
1,1
3,2
2,2
3,9
3,13
3,3
2,2
2,2
3,8
2,2
2,2
2,2
2,2
2,2
2,2
2,2
1,1
2,6
2,2
1,1
2,2
2,2
3,10
2,2
2,2
2,2
2,2
2,13
2,2
2,2
2,2
2,2
3,10
2,2
2,2
2,2
3,11
2,2
2,8
2,2
2,2
3,11
1,1
3,6
14,12
3,3
2,3
2,1
1,1
1,11
2,2
3,2
2,2
2,2
2,9
2,2
2,2
2,6
2,2
2,6
2,2
2,2
2,2
2,2
2,6
2,2
2,2
2,2
6,8
2,0
3,9
1,1
1,1
3,17
2,6
2,2
2,1
2,8
2,2
1,1
2,2
1,1
2,1
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
1,12
2,2
2,2
2,2
2,8
2,2
14,15
